Source,Sum Sq.,d.f.,Singular?,Mean Sq.,F,Prob>F
X1,65.8148148148903,2,0,32.9074074074451,0.605168489973999,0.54602827038526
X2,469977.367626886,2,0,234988.683813443,4321.45094821979,0
X3,37918.3703703703,2,0,18959.1851851851,348.660145954253,3.40149329285944e-141
X4,13.1083676270791,2,0,6.55418381353957,0.120531692829572,0.88645194576521
X5,10697.4663923183,2,0,5348.73319615913,98.3634095362094,1.64745553731117e-42
X6,10.4814814816345,2,0,5.24074074081727,0.0963774241220857,0.90812313870791
Error,237139.253086416,4361,0,54.3772650966329,,
Total,755821.862139914,4373,0,,,
