Source,Sum Sq.,d.f.,Singular?,Mean Sq.,F,Prob>F
X1,0.000684912860124953,2,0,0.000342456430062477,0.170211437591457,0.843492056354344
X2,4.56840694594738,2,0,2.28420347297369,1135.3197743004,0
X3,3.77243354868811,2,0,1.88621677434406,937.508075732876,0
X4,0.000144640463282997,2,0,7.23202316414984e-05,0.0359453919215384,0.964693257889124
X5,0.00329251521335117,2,0,0.00164625760667558,0.818240947693701,0.441274802770217
X6,0.00383074916383386,2,0,0.00191537458191693,0.952000407919743,0.386048353979458
Error,8.77410186198566,4361,0,0.00201194722815539,,
Total,17.1228951743217,4373,0,,,
