Source,Sum Sq.,d.f.,Singular?,Mean Sq.,F,Prob>F
X1,13948.2894375864,2,0,6974.14471879322,0.543160143499375,0.580948884529358
X2,1947550.83127572,2,0,973775.415637861,75.8395496251683,4.19894716642816e-33
X3,11182791.5486969,2,0,5591395.77434843,435.468928967451,3.74725080854341e-173
X4,21308.7009602208,2,0,10654.3504801104,0.829781825443787,0.436213280331552
X5,107208.975308642,2,0,53604.4876543209,4.17482320492619,0.0154394137545512
X6,7007.29355281405,2,0,3503.64677640703,0.272870920030701,0.761204031200873
Error,55994986.8978048,4361,0,12839.9419623492,,
Total,69274802.5370366,4373,0,,,
