Source,Sum Sq.,d.f.,Singular?,Mean Sq.,F,Prob>F
X1,108928.204846978,2,0,54464.1024234891,0.443729004890527,0.641668244565838
X2,856810738.060814,2,0,428405369.030407,3490.29690439987,0
X3,21612740.0951074,2,0,10806370.0475537,88.0414734533805,3.27963853389423e-38
X4,30016.1979886293,2,0,15008.0989943147,0.122273727753084,0.884909145611468
X5,7694175.03612268,2,0,3847087.51806134,31.3429257099059,3.053823924817e-14
X6,33838.3269323111,2,0,16919.1634661555,0.137843519572619,0.871238808117905
Error,535277045.338594,4361,0,122741.812735289,,
Total,1421567481.2604,4373,0,,,
